Employee_Number,Age,Gender,Education,Education_Field,Environment_Satisfaction,Marital_Status,Num_Companies_Worked,Over_18,Work_Life_Balance,Total_Working_Years,Distance_from_Home,Employee_Count,Years_at_Company,Business_Travel,Department,Job_Involvement,Job_Level,Job_Role,Years_in_Current_Role,Years_since_Last_Promotion,Years_with_Curr_Manager,Daily_Rate,Hourly_Rate,Monthly_Rate,Over_Time,Percent_Salary_Hike,Standard_Hours,Stock_Option_Level,Job_Satisfaction,Performance_Rating,Satisfaction_with_Manager,Training_Times_Last_Year,Attrition,Monthly_Income
177,24,Male,3,Marketing,3,Single,1,Y,3,6,5,1,6,Travel Rarely,Sales,2,2,Sales Executive,4,0,3,240,46,26959,Yes,11,80,0,3,3,4,1,Yes,5744
531,40,Female,2,Marketing,2,Single,1,Y,2,4,20,1,4,Travel Rarely,Sales,3,1,Sales Representative,3,0,2,1356,70,21728,Yes,22,80,0,2,4,4,5,Yes,3140
180,28,Female,1,Other,3,Single,0,Y,3,9,14,1,8,Travel Frequently,Research & Development,3,3,Healthcare Representative,7,7,7,337,84,22930,Yes,12,80,0,4,3,1,1,Yes,7553
1006,33,Female,4,Medical,3,Married,3,Y,3,4,23,1,2,Travel Rarely,Research & Development,3,1,Laboratory Technician,2,2,2,1142,30,16002,Yes,15,80,1,1,3,3,3,No,4014
715,27,Female,3,Medical,2,Married,1,Y,3,1,3,1,1,Travel Rarely,Sales,3,1,Sales Representative,0,0,0,1172,78,3692,No,19,80,1,2,3,4,3,No,2856
276,41,Female,3,Medical,2,Single,4,Y,3,18,28,1,3,Travel Frequently,Research & Development,4,1,Research Scientist,2,1,2,957,72,16090,No,12,80,0,3,3,4,2,No,4739
454,43,Male,4,Other,4,Married,4,Y,4,17,6,1,0,Travel Rarely,Research & Development,3,3,Research Director,0,0,0,193,52,15067,Yes,14,80,0,1,3,2,3,No,13245
1384,30,Male,4,Life Sciences,2,Married,1,Y,4,6,2,1,5,Travel Rarely,Research & Development,3,1,Laboratory Technician,2,0,3,741,69,18103,No,14,80,1,3,3,4,2,No,3477
1084,51,Male,4,Medical,3,Married,3,Y,2,21,3,1,5,Travel Rarely,Research & Development,3,4,Research Director,3,1,3,1070,45,21016,Yes,16,80,3,3,3,4,5,No,17584
379,43,Male,3,Life Sciences,2,Divorced,2,Y,3,25,7,1,1,Travel Rarely,Research & Development,3,3,Research Scientist,0,0,0,1339,59,18787,No,17,80,1,1,3,3,2,No,9724
184,57,Female,4,Medical,4,Married,1,Y,2,40,23,1,40,Travel Rarely,Research & Development,3,3,Healthcare Representative,10,15,6,147,94,3465,No,12,80,1,4,3,4,3,Yes,10312
586,41,Male,3,Medical,3,Divorced,5,Y,3,18,25,1,1,Travel Rarely,Sales,2,3,Sales Executive,0,0,0,415,79,5268,No,13,80,1,4,3,3,5,No,10798
265,21,Male,2,Life Sciences,4,Married,1,Y,3,1,1,1,1,Travel Rarely,Research & Development,3,1,Research Scientist,0,0,1,373,47,16901,No,22,80,1,3,4,4,2,No,1223
864,31,Male,1,Life Sciences,2,Married,6,Y,4,8,5,1,5,Travel Frequently,Sales,3,2,Sales Executive,4,1,2,1111,61,19293,No,13,80,0,4,3,1,2,No,9998
1282,33,Male,1,Life Sciences,4,Married,1,Y,2,10,2,1,10,Travel Frequently,Research & Development,2,2,Manufacturing Director,9,1,9,1069,45,14074,No,17,80,0,3,3,3,2,No,9547
1396,35,Male,2,Other,3,Divorced,2,Y,2,19,8,1,10,Travel Rarely,Human Resources,3,2,Human Resources,0,4,7,1239,89,12832,No,13,80,0,2,3,3,4,No,4071
1129,41,Male,3,Life Sciences,3,Married,3,Y,3,25,3,1,8,Travel Rarely,Research & Development,1,5,Research Director,7,0,7,920,96,18625,No,14,80,1,4,3,2,2,No,19740
1056,25,Female,4,Life Sciences,4,Single,1,Y,3,8,17,1,8,Travel Rarely,Research & Development,3,1,Research Scientist,2,7,7,135,51,25681,Yes,13,80,0,3,3,4,2,Yes,2394
103,35,Male,2,Life Sciences,4,Single,8,Y,4,16,5,1,13,Travel Rarely,Research & Development,3,2,Laboratory Technician,11,3,7,1396,62,9945,No,16,80,0,2,3,4,3,No,5914
852,31,Male,3,Marketing,4,Single,1,Y,2,10,10,1,10,Travel Rarely,Sales,3,2,Sales Executive,7,0,8,929,55,21703,No,12,80,0,4,3,4,2,No,5396
1271,32,Male,4,Technical Degree,4,Married,1,Y,3,5,16,1,5,Non-Travel,Research & Development,1,1,Research Scientist,2,3,0,967,85,14460,Yes,23,80,1,1,4,2,2,Yes,2307
696,54,Female,3,Medical,4,Divorced,2,Y,3,21,8,1,5,Travel Rarely,Research & Development,3,4,Manager,0,0,2,836,33,19730,Yes,14,80,3,3,3,3,2,No,14756
179,27,Male,3,Technical Degree,4,Divorced,4,Y,4,8,19,1,3,Travel Rarely,Research & Development,3,2,Manufacturing Director,2,1,2,232,34,22645,No,12,80,2,4,3,2,2,No,4262
583,38,Male,4,Life Sciences,2,Married,3,Y,3,7,1,1,4,Travel Rarely,Research & Development,3,1,Laboratory Technician,2,0,3,329,88,6762,No,22,80,1,2,4,3,3,No,2387
507,45,Male,4,Marketing,3,Married,7,Y,1,4,2,1,1,Non-Travel,Sales,3,2,Sales Executive,0,0,0,543,87,3536,No,11,80,1,2,3,4,3,No,4978
632,32,Male,3,Life Sciences,3,Married,4,Y,4,14,11,1,10,Travel Frequently,Human Resources,2,2,Human Resources,9,1,8,648,56,21833,No,11,80,2,2,3,4,5,No,4490
55,53,Female,3,Medical,4,Single,6,Y,2,29,1,1,20,Travel Rarely,Research & Development,3,4,Research Director,7,12,7,971,54,5652,No,19,80,0,4,3,4,3,No,17328
133,30,Male,2,Medical,3,Divorced,1,Y,4,4,3,1,4,Non-Travel,Research & Development,3,1,Research Scientist,2,2,3,976,48,3995,Yes,13,80,1,1,3,4,3,No,3065
765,34,Male,4,Life Sciences,4,Married,2,Y,3,17,27,1,7,Travel Rarely,Research & Development,3,2,Manufacturing Director,7,0,7,1370,49,5151,No,16,80,1,3,3,2,3,No,6883
320,31,Male,2,Life Sciences,1,Single,6,Y,3,10,1,1,0,Travel Rarely,Sales,1,2,Sales Executive,0,0,0,964,34,12147,No,15,80,0,2,3,2,2,Yes,6735
97,57,Male,3,Life Sciences,3,Married,3,Y,3,7,3,1,1,Travel Rarely,Research & Development,2,1,Research Scientist,0,0,0,142,70,8456,No,17,80,1,4,3,1,6,No,2177
948,34,Male,3,Medical,1,Married,0,Y,3,6,16,1,5,Travel Rarely,Research & Development,4,1,Laboratory Technician,4,0,3,809,84,16479,No,13,80,1,2,3,3,5,No,2426
686,48,Male,5,Medical,2,Married,2,Y,3,32,20,1,30,Travel Frequently,Research & Development,3,4,Healthcare Representative,8,12,13,1234,41,20689,Yes,15,80,1,3,3,3,3,No,11245
1410,39,Male,3,Life Sciences,1,Single,3,Y,1,10,7,1,4,Travel Rarely,Research & Development,3,1,Laboratory Technician,2,0,3,1329,73,3339,Yes,14,80,0,1,3,2,3,Yes,2166
94,48,Female,4,Medical,3,Married,1,Y,2,16,20,1,15,Travel Rarely,Research & Development,3,2,Manufacturing Director,11,5,11,470,96,5549,No,14,80,0,1,3,3,2,No,6567
693,57,Female,1,Life Sciences,1,Single,7,Y,2,20,1,1,4,Travel Frequently,Sales,2,2,Sales Executive,3,1,3,1225,57,24668,No,11,80,0,3,3,4,2,No,5473
954,35,Male,2,Life Sciences,4,Single,3,Y,3,4,10,1,1,Travel Rarely,Research & Development,4,1,Research Scientist,0,0,0,1225,80,15232,No,17,80,0,4,3,1,2,No,4680
1456,34,Female,3,Life Sciences,2,Married,3,Y,3,5,6,1,1,Travel Rarely,Research & Development,4,1,Laboratory Technician,0,0,0,132,55,22002,No,12,80,0,4,3,2,3,No,3038
1007,42,Male,2,Medical,2,Married,9,Y,3,24,1,1,20,Travel Rarely,Human Resources,2,3,Human Resources,6,3,6,1376,91,2326,No,14,80,1,1,3,4,1,Yes,10482
579,18,Male,2,Technical Degree,1,Single,1,Y,4,1,2,1,1,Travel Rarely,Human Resources,2,1,Human Resources,0,0,0,489,52,18437,No,12,80,0,4,3,3,3,Yes,2564
1291,19,Male,1,Medical,3,Single,1,Y,3,3,5,1,2,Travel Rarely,Research & Development,3,1,Research Scientist,2,2,2,546,97,26009,No,18,80,0,4,3,3,2,No,3117
170,30,Male,4,Life Sciences,1,Married,1,Y,3,10,24,1,10,Travel Frequently,Research & Development,3,2,Laboratory Technician,8,4,7,430,80,21146,No,15,80,2,4,3,4,2,No,5309
504,40,Male,1,Technical Degree,3,Divorced,0,Y,3,4,2,1,3,Travel Rarely,Human Resources,3,1,Human Resources,2,1,0,544,52,24017,Yes,11,80,1,3,3,3,5,No,2696
739,28,Male,3,Other,2,Single,1,Y,2,10,17,1,10,Travel Rarely,Human Resources,2,3,Human Resources,9,0,9,332,51,9769,No,13,80,0,1,3,1,3,No,7988
589,42,Female,4,Life Sciences,1,Single,4,Y,4,10,1,1,2,Travel Rarely,Human Resources,2,2,Human Resources,2,0,2,1112,50,26894,No,11,80,0,3,3,2,1,No,5985
71,36,Male,4,Human Resources,3,Married,3,Y,3,10,10,1,6,Travel Frequently,Human Resources,3,2,Human Resources,3,1,2,888,71,14814,No,11,80,0,3,3,3,2,No,6077
69,57,Male,4,Life Sciences,1,Divorced,1,Y,3,2,23,1,2,Travel Rarely,Research & Development,3,1,Research Scientist,2,2,2,848,88,26076,No,12,80,2,3,3,4,3,No,2372
503,24,Male,3,Other,3,Single,0,Y,3,8,7,1,7,Travel Rarely,Research & Development,4,1,Laboratory Technician,7,0,7,652,100,23577,No,12,80,0,1,3,4,2,No,3578
1407,29,Female,2,Technical Degree,4,Married,7,Y,4,4,25,1,2,Non-Travel,Sales,3,2,Sales Executive,2,2,2,641,85,6069,Yes,12,80,1,3,3,2,2,No,4736
570,29,Male,2,Life Sciences,1,Divorced,1,Y,3,13,8,1,13,Travel Rarely,Sales,3,3,Sales Executive,7,9,9,326,31,8386,No,18,80,1,4,3,1,5,No,10793
520,44,Female,3,Medical,2,Single,3,Y,3,22,25,1,0,Travel Frequently,Research & Development,3,5,Manager,0,0,0,364,83,13035,No,22,80,0,2,4,3,4,No,18061
755,28,Male,2,Medical,4,Single,1,Y,3,10,9,1,10,Travel Rarely,Research & Development,2,1,Laboratory Technician,0,1,8,125,83,16117,No,13,80,0,3,3,1,5,No,2206
440,26,Male,1,Marketing,3,Divorced,0,Y,3,5,2,1,4,Travel Rarely,Sales,3,1,Sales Representative,3,0,2,1420,85,16346,No,11,80,1,1,3,2,3,Yes,3041
1457,40,Female,3,Life Sciences,3,Married,2,Y,2,17,3,1,5,Travel Rarely,Research & Development,4,2,Laboratory Technician,3,1,3,1265,95,23726,Yes,13,80,1,4,3,2,1,No,5231
858,36,Male,3,Marketing,2,Married,0,Y,3,3,9,1,2,Travel Rarely,Sales,2,1,Sales Representative,2,1,2,395,98,12102,No,19,80,1,2,3,4,3,No,2899
1091,47,Female,3,Medical,4,Divorced,3,Y,3,24,22,1,22,Travel Frequently,Research & Development,3,4,Manager,17,4,7,117,58,2437,No,11,80,1,4,3,2,3,No,17174
1053,31,Female,2,Medical,2,Married,0,Y,3,10,15,1,9,Travel Rarely,Research & Development,3,2,Healthcare Representative,7,8,1,501,95,21653,Yes,13,80,1,4,3,1,6,No,4878
807,29,Female,2,Life Sciences,2,Married,0,Y,2,9,8,1,8,Travel Rarely,Research & Development,4,3,Research Director,7,1,7,153,73,17802,Yes,12,80,3,1,3,3,4,No,11416
826,41,Male,3,Medical,4,Married,7,Y,3,8,21,1,3,Travel Frequently,Research & Development,3,1,Laboratory Technician,2,1,2,313,61,15238,No,20,80,1,4,4,1,1,No,2258
917,53,Female,4,Life Sciences,4,Divorced,7,Y,1,33,1,1,5,Travel Frequently,Research & Development,3,3,Manufacturing Director,4,1,4,966,53,9659,No,17,80,1,3,3,1,2,No,10502
163,30,Female,1,Medical,4,Divorced,1,Y,3,1,2,1,1,Travel Rarely,Research & Development,1,1,Laboratory Technician,0,0,0,1276,59,17536,Yes,11,80,3,4,3,3,4,No,1129
711,25,Female,2,Medical,1,Single,0,Y,2,9,2,1,8,Travel Rarely,Sales,4,2,Sales Executive,7,0,7,511,89,26997,No,14,80,0,3,3,2,5,No,6500
432,54,Female,3,Life Sciences,3,Married,9,Y,2,36,6,1,7,Travel Frequently,Sales,4,4,Sales Executive,7,7,7,906,86,18256,No,11,80,3,1,3,4,0,No,13212
1314,40,Male,3,Life Sciences,3,Divorced,2,Y,3,14,3,1,5,Travel Rarely,Sales,2,2,Sales Executive,4,0,4,930,57,12227,No,11,80,1,2,3,3,5,No,8938
1012,29,Male,4,Life Sciences,2,Married,4,Y,2,12,6,1,7,Travel Rarely,Sales,1,2,Sales Executive,7,7,7,249,76,20739,Yes,18,80,0,3,3,2,3,Yes,6172
871,54,Male,3,Life Sciences,4,Married,4,Y,3,33,23,1,19,Travel Rarely,Research & Development,3,4,Manufacturing Director,16,15,9,1369,68,18235,Yes,12,80,1,2,3,1,0,No,13402
980,52,Female,3,Medical,3,Single,6,Y,3,9,10,1,5,Travel Rarely,Research & Development,3,2,Manufacturing Director,2,1,4,157,77,25198,Yes,19,80,0,1,3,4,3,No,4440
306,29,Male,4,Life Sciences,3,Divorced,8,Y,3,8,29,1,4,Travel Rarely,Sales,3,2,Sales Executive,3,0,3,1329,61,13192,No,19,80,3,1,3,3,3,No,4115
1057,30,Male,3,Medical,3,Married,1,Y,2,2,15,1,2,Travel Frequently,Research & Development,3,1,Laboratory Technician,2,2,2,874,72,6233,No,12,80,1,3,3,3,5,Yes,2610
47,29,Female,3,Medical,2,Single,0,Y,3,4,5,1,3,Travel Frequently,Research & Development,3,1,Laboratory Technician,2,1,2,109,60,25725,No,17,80,0,2,3,1,3,Yes,2422
153,34,Female,1,Medical,2,Single,1,Y,3,8,18,1,8,Travel Frequently,Research & Development,3,1,Laboratory Technician,1,1,7,635,73,7703,No,13,80,0,4,3,1,2,No,2153
461,38,Male,3,Marketing,3,Married,1,Y,2,8,26,1,7,Travel Rarely,Sales,3,2,Sales Executive,7,7,5,300,74,22217,No,14,80,1,1,3,2,3,No,8396
1107,40,Male,3,Medical,3,Married,4,Y,3,4,2,1,1,Travel Rarely,Research & Development,2,1,Laboratory Technician,0,0,0,1210,68,24052,No,14,80,1,2,3,2,3,No,4841
228,44,Male,4,Medical,2,Single,1,Y,3,6,24,1,6,Travel Rarely,Human Resources,3,1,Human Resources,3,0,4,788,36,8318,No,16,80,0,2,3,1,3,No,2177
216,26,Male,3,Medical,3,Divorced,1,Y,2,1,3,1,1,Non-Travel,Research & Development,2,1,Research Scientist,1,0,1,1450,79,25326,Yes,15,80,1,3,3,4,2,No,2566
1154,32,Female,2,Medical,4,Single,2,Y,3,9,27,1,3,Travel Rarely,Research & Development,3,1,Research Scientist,2,1,2,629,95,5711,No,15,80,0,2,3,4,3,No,2311
547,35,Female,3,Life Sciences,4,Married,4,Y,3,6,2,1,2,Travel Rarely,Research & Development,3,1,Research Scientist,2,2,2,329,96,11868,No,13,80,1,3,3,2,3,No,2543
541,33,Male,2,Medical,2,Divorced,2,Y,3,15,2,1,7,Non-Travel,Research & Development,3,2,Manufacturing Director,7,1,7,1180,90,24442,No,14,80,1,4,3,3,6,No,5762
1075,55,Male,2,Technical Degree,4,Married,8,Y,1,14,7,1,10,Travel Rarely,Research & Development,3,1,Laboratory Technician,9,9,8,310,72,3666,No,11,80,1,3,3,4,4,Yes,2339
363,30,Male,4,Medical,2,Divorced,9,Y,3,9,3,1,2,Travel Frequently,Research & Development,3,3,Research Director,2,2,2,1327,73,13523,No,12,80,1,3,3,1,3,No,13675
1399,26,Male,2,Medical,2,Divorced,1,Y,3,6,8,1,5,Travel Rarely,Human Resources,2,1,Human Resources,1,0,4,1169,63,23965,No,13,80,1,4,3,4,6,No,4936
384,52,Male,3,Life Sciences,4,Married,3,Y,3,36,3,1,10,Travel Rarely,Research & Development,3,4,Research Director,9,0,9,685,85,23474,No,14,80,0,4,3,1,2,No,17779
497,41,Female,2,Medical,3,Single,7,Y,3,10,14,1,5,Travel Rarely,Sales,2,2,Sales Executive,4,0,3,462,68,7824,No,17,80,0,3,3,1,6,No,6244
846,28,Male,4,Life Sciences,2,Divorced,1,Y,3,10,1,1,10,Travel Frequently,Research & Development,1,1,Research Scientist,7,2,8,806,76,18959,No,18,80,1,4,3,4,5,No,2720
933,54,Male,2,Life Sciences,1,Single,1,Y,3,5,24,1,4,Travel Rarely,Research & Development,3,1,Laboratory Technician,2,1,0,1162,97,10261,No,16,80,0,4,3,4,3,Yes,2587
1266,37,Female,3,Life Sciences,3,Single,4,Y,4,10,1,1,1,Travel Rarely,Research & Development,3,3,Manufacturing Director,0,0,0,168,81,15397,Yes,14,80,0,3,3,4,4,No,7861
368,54,Male,4,Human Resources,3,Married,4,Y,3,35,26,1,10,Travel Rarely,Human Resources,4,5,Manager,9,1,4,189,71,25811,Yes,18,80,1,2,3,1,0,No,19636
1180,41,Female,3,Marketing,4,Married,5,Y,3,22,16,1,17,Travel Rarely,Sales,3,4,Manager,13,1,9,1034,80,7744,Yes,22,80,1,4,4,3,3,No,16064
729,39,Male,3,Human Resources,4,Married,1,Y,3,22,1,1,22,Travel Rarely,Human Resources,2,5,Manager,7,2,10,314,59,19562,No,12,80,1,3,3,2,3,No,19189
159,32,Male,3,Life Sciences,3,Divorced,3,Y,1,15,6,1,13,Travel Frequently,Research & Development,3,2,Healthcare Representative,11,4,7,1296,30,5335,No,23,80,1,4,4,3,2,No,7725
17,32,Female,3,Medical,3,Divorced,4,Y,4,15,19,1,11,Travel Frequently,Research & Development,3,2,Laboratory Technician,8,5,10,135,46,22534,No,13,80,2,2,3,3,2,No,4444
708,45,Male,2,Medical,3,Single,1,Y,3,9,9,1,9,Travel Rarely,Sales,2,3,Sales Executive,8,4,7,669,64,13596,No,16,80,0,4,3,4,3,Yes,9619
322,39,Male,4,Medical,1,Single,6,Y,3,10,16,1,1,Travel Frequently,Research & Development,2,2,Laboratory Technician,0,0,0,720,51,11983,No,14,80,0,3,3,4,6,No,5094
270,33,Female,5,Life Sciences,2,Divorced,3,Y,3,7,8,1,0,Travel Rarely,Research & Development,3,2,Manufacturing Director,0,0,0,167,32,4187,No,14,80,1,1,3,3,3,No,5121
20,25,Male,5,Life Sciences,1,Married,1,Y,3,3,8,1,3,Non-Travel,Research & Development,1,1,Laboratory Technician,2,1,2,1277,87,5869,No,19,80,3,3,3,4,4,No,4621
3,38,Female,4,Medical,3,Divorced,7,Y,3,7,1,1,3,Travel Rarely,Research & Development,3,1,Laboratory Technician,2,1,2,1431,96,15417,No,14,80,3,3,3,3,1,No,2232
828,29,Female,3,Medical,1,Single,9,Y,3,9,10,1,7,Travel Rarely,Research & Development,3,3,Manufacturing Director,7,0,2,1092,64,2739,No,14,80,0,3,3,2,3,No,9667
1303,45,Female,2,Life Sciences,4,Single,1,Y,3,9,4,1,9,Travel Rarely,Sales,3,2,Sales Executive,0,0,7,955,83,8571,Yes,17,80,0,4,3,3,0,No,4163
1316,44,Male,3,Medical,3,Married,2,Y,2,21,1,1,10,Travel Frequently,Research & Development,2,3,Healthcare Representative,9,9,5,638,40,3142,Yes,13,80,1,1,3,3,5,No,10673
277,31,Female,3,Marketing,1,Single,5,Y,3,6,16,1,3,Travel Rarely,Sales,3,2,Sales Executive,2,0,2,118,69,26507,No,15,80,0,1,3,3,3,Yes,5324
1113,39,Female,3,Life Sciences,4,Single,3,Y,3,16,6,1,1,Travel Rarely,Sales,3,3,Manager,0,0,0,896,75,14674,Yes,18,80,0,4,3,3,3,No,13591
1292,32,Female,4,Marketing,3,Married,6,Y,3,6,2,1,4,Travel Frequently,Sales,3,1,Sales Representative,3,1,2,303,75,11314,No,18,80,1,3,3,4,3,No,2231
906,30,Male,1,Life Sciences,2,Single,4,Y,4,10,2,1,6,Travel Rarely,Sales,3,2,Sales Executive,5,0,5,828,77,8346,Yes,13,80,0,4,3,3,2,No,6582
1302,33,Male,1,Life Sciences,1,Single,0,Y,2,7,3,1,6,Travel Frequently,Research & Development,3,2,Healthcare Representative,2,0,4,618,45,22266,No,17,80,0,4,3,3,1,No,7756
679,28,Male,3,Technical Degree,3,Single,9,Y,3,3,4,1,1,Travel Frequently,Research & Development,3,1,Research Scientist,0,0,0,464,40,3427,Yes,23,80,0,4,4,3,4,Yes,2285
1069,19,Female,2,Life Sciences,1,Single,1,Y,1,2,10,1,2,Travel Frequently,Research & Development,2,1,Laboratory Technician,2,2,2,251,45,25308,No,20,80,0,3,4,3,2,Yes,2625
297,43,Female,5,Marketing,2,Divorced,5,Y,2,9,1,1,4,Travel Rarely,Sales,3,2,Sales Executive,3,1,3,1488,75,4009,Yes,21,80,1,1,4,3,2,No,5454
307,33,Female,4,Technical Degree,1,Married,1,Y,3,2,9,1,2,Travel Rarely,Human Resources,3,1,Human Resources,2,2,2,1107,52,3072,No,15,80,0,3,3,4,0,Yes,2742
1361,39,Male,1,Medical,4,Divorced,2,Y,3,16,8,1,9,Non-Travel,Research & Development,2,3,Research Director,8,4,8,218,55,25178,No,11,80,1,2,3,3,5,No,13757
979,17,Female,1,Technical Degree,3,Single,0,N,4,1,1,1,0,Travel Frequently,Sales,1,1,Sales Representative,0,0,0,602,100,20989,No,21,80,0,1,4,1,5,Yes,2325
1122,19,Male,2,Medical,1,Single,1,Y,2,3,9,1,3,Non-Travel,Sales,3,1,Sales Representative,2,2,2,895,39,2851,No,24,80,0,4,4,3,3,No,2610
117,39,Female,1,Life Sciences,2,Divorced,1,Y,3,21,7,1,21,Non-Travel,Research & Development,1,5,Research Director,16,5,10,247,55,20284,No,22,80,2,3,4,2,3,No,19973
1010,27,Male,3,Life Sciences,1,Divorced,1,Y,1,1,1,1,1,Travel Rarely,Research & Development,2,1,Research Scientist,0,0,0,1423,72,12530,No,14,80,1,3,3,4,2,No,1563
418,30,Male,4,Marketing,3,Married,0,Y,3,4,26,1,3,Non-Travel,Sales,3,2,Sales Executive,2,2,2,976,100,12069,No,18,80,0,4,3,1,2,No,4465
88,43,Male,3,Medical,4,Single,9,Y,2,10,4,1,5,Travel Rarely,Research & Development,3,2,Healthcare Representative,2,2,3,625,50,5197,No,12,80,0,2,3,4,2,No,5933
940,27,Male,3,Life Sciences,3,Married,6,Y,2,5,9,1,1,Travel Rarely,Research & Development,4,1,Research Scientist,0,0,0,598,91,22376,No,18,80,2,3,3,1,2,No,2451
174,29,Female,2,Medical,4,Single,9,Y,3,8,8,1,3,Travel Rarely,Human Resources,4,1,Human Resources,2,0,2,1398,96,24609,No,18,80,0,2,3,4,3,No,2109
815,37,Male,4,Life Sciences,1,Married,3,Y,4,8,21,1,5,Travel Rarely,Sales,2,2,Sales Executive,4,1,4,1498,44,3567,Yes,12,80,2,4,3,4,2,No,6120
606,35,Female,3,Medical,2,Married,1,Y,1,8,10,1,8,Travel Rarely,Research & Development,3,1,Research Scientist,4,7,7,1470,71,9953,No,11,80,1,2,3,1,2,No,3936
